FESESION;HORA;VERPREV;ENERGIA;FEULTMOD;CDUSUARIO
2021-01-11 00:00:00;4;2;0.0;2021-01-10 01:18:52.440;SOLABEN
2021-01-11 00:00:00;5;2;0.0;2021-01-10 01:18:52.440;SOLABEN
2021-01-11 00:00:00;6;2;0.0;2021-01-10 01:18:52.440;SOLABEN
2021-01-11 00:00:00;7;2;0.0;2021-01-10 01:18:52.440;SOLABEN
2021-01-11 00:00:00;8;2;0.0;2021-01-10 01:18:52.440;SOLABEN
2021-01-11 00:00:00;9;2;0.0;2021-01-10 01:18:52.440;SOLABEN
2021-01-11 00:00:00;10;2;0.0;2021-01-10 01:18:52.440;SOLABEN
2021-01-11 00:00:00;11;2;4.7;2021-01-10 01:18:52.440;SOLABEN
2021-01-11 00:00:00;12;2;18.3;2021-01-10 01:18:52.440;SOLABEN
2021-01-11 00:00:00;13;2;18.7;2021-01-10 01:18:52.440;SOLABEN
2021-01-11 00:00:00;14;2;18.5;2021-01-10 01:18:52.440;SOLABEN
2021-01-11 00:00:00;15;2;20.6;2021-01-10 01:18:52.440;SOLABEN
2021-01-11 00:00:00;16;2;26.8;2021-01-10 01:18:52.440;SOLABEN
2021-01-11 00:00:00;17;2;30.9;2021-01-10 01:18:52.440;SOLABEN
2021-01-11 00:00:00;18;2;19.0;2021-01-10 01:18:52.440;SOLABEN
2021-01-11 00:00:00;19;2;3.6;2021-01-10 01:18:52.440;SOLABEN
2021-01-11 00:00:00;20;2;0.0;2021-01-10 01:18:52.440;SOLABEN
2021-01-11 00:00:00;21;2;0.0;2021-01-10 01:18:52.440;SOLABEN
2021-01-11 00:00:00;22;2;0.0;2021-01-10 01:18:52.440;SOLABEN
2021-01-11 00:00:00;23;2;0.0;2021-01-10 01:18:52.440;SOLABEN
2021-01-11 00:00:00;24;2;0.0;2021-01-10 01:18:52.440;SOLABEN
2021-01-12 00:00:00;1;2;0.0;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;2;2;0.0;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;3;2;0.0;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;4;2;0.0;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;5;2;0.0;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;6;2;0.0;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;7;2;0.0;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;8;2;0.0;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;9;2;0.0;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;10;2;0.0;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;11;2;4.1;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;12;2;19.6;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;13;2;19.8;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;14;2;19.6;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;15;2;22.0;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;16;2;28.3;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;17;2;33.3;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;18;2;20.4;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;19;2;3.0;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;20;2;0.0;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;21;2;0.0;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;22;2;0.0;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;23;2;0.0;2021-01-11 01:15:44.927;SOLABEN
2021-01-12 00:00:00;24;2;0.0;2021-01-11 01:15:44.927;SOLABEN
2021-01-13 00:00:00;1;2;0.0;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;2;2;0.0;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;3;2;0.0;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;4;2;0.0;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;5;2;0.0;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;6;2;0.0;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;7;2;0.0;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;8;2;0.0;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;9;2;0.0;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;10;2;0.0;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;11;2;6.0;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;12;2;19.4;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;13;2;19.9;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;14;2;19.8;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;15;2;22.2;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;16;2;27.6;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;17;2;31.5;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;18;2;19.8;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;19;2;5.0;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;20;2;0.0;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;21;2;0.0;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;22;2;0.0;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;23;2;0.0;2021-01-12 00:38:56.210;SOLABEN
2021-01-13 00:00:00;24;2;0.0;2021-01-12 00:38:56.210;SOLABEN
2021-01-14 00:00:00;1;2;0.0;2021-01-13 00:47:05.287;SOLABEN
2021-01-14 00:00:00;2;2;0.0;2021-01-13 00:47:05.287;SOLABEN
2021-01-14 00:00:00;3;2;0.0;2021-01-13 00:47:05.287;SOLABEN
2021-01-14 00:00:00;4;2;0.0;2021-01-13 00:47:05.287;SOLABEN
2021-01-14 00:00:00;5;2;0.0;2021-01-13 00:47:05.287;SOLABEN
2021-01-14 00:00:00;6;2;0.0;2021-01-13 00:47:05.287;SOLABEN
2021-01-14 00:00:00;7;2;0.0;2021-01-13 00:47:05.287;SOLABEN
2021-01-14 00:00:00;8;2;0.0;2021-01-13 00:47:05.287;SOLABEN
2021-01-14 00:00:00;9;2;0.0;2021-01-13 00:47:05.287;SOLABEN
